id,kr_id,name,intro,weibo,weixin,linkedin,focusIntustry,investCount,investPhases,investorSettings,country,city,school
20,95596,周宁,鲁信创投香港美元基金高级投资经理，关注tmt和医疗的vc阶段,,,,"社交网络,电子商务,金融",0,"ANGEL,PRE_A,A","{""fundCnyInvestMax"": ""5000"", ""cnyInvestMin"": ""1"", ""mainInvestCurrency"": ""USD"", ""fundCnyInvestMin"": ""300"", ""fundUsdInvestMin"": ""500"", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""100"", ""fundUsdInvestMax"": ""3000""}",,,复旦大学
59,107221,孙晓东,发呆，贪杯，嗜读，爱旅行~,,Daniel_Sunxiaodong,,"O2O,医疗健康,教育培训",0,"ANGEL,PRE_A,A,B","{""fundCnyInvestMax"": ""50000"", ""cnyInvestMin"": ""300"", ""mainInvestCurrency"": ""CNY"", ""fundCnyInvestMin"": ""500"", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""8000"", ""fundUsdInvestMax"": """"}",,,
19,96283,李文亮 Kyle,TMT 芝加哥大学商学院,,,,"社交网络,电子商务,金融",0,"ANGEL,PRE_A,A,B,C,D,E","{""fundCnyInvestMax"": """", ""cnyInvestMin"": """", ""mainInvestCurrency"": ""USD"", ""fundCnyInvestMin"": """", ""fundUsdInvestMin"": """", ""usdInvestMax"": ""100000"", ""usdInvestMin"": ""10"", ""cnyInvestMax"": """", ""fundUsdInvestMax"": """"}",,,
100,112465,黑马创投,京东股权众筹领头人,,,,电子商务,3,"B,C","{""fundCnyInvestMax"": """", ""cnyInvestMin"": ""100"", ""fundCnyInvestMin"": """", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""800"", ""fundUsdInvestMax"": """"}",,,
99,113175,王娇舰,敢想敢做，才能创造下一个奇迹。关注大数据，手游领域。,,,,"游戏动漫,移动互联网,金融",0,ANGEL,"{""fundCnyInvestMax"": ""3000"", ""cnyInvestMin"": """", ""mainInvestCurrency"": ""CNY"", ""fundCnyInvestMin"": ""300"", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": """", ""fundUsdInvestMax"": """"}",,,
80,118678,蒋雨潇,在输赢的世界里有一颗平常心,,,,"旅游户外,智能硬件,企业服务",0,"B,C,D,E","{""fundCnyInvestMax"": """", ""cnyInvestMin"": ""5"", ""mainInvestCurrency"": ""USD"", ""fundCnyInvestMin"": """", ""fundUsdInvestMin"": ""20"", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""50"", ""fundUsdInvestMax"": ""100""}",,,复旦大学
60,107205,张颍,丰富的影视、文化领域资源，专注泛娱乐领域、互联网方向的投资,,,,"文体艺术,消费生活,媒体",2,"ANGEL,PRE_A,A","{""fundCnyInvestMax"": ""500\u4e07"", ""cnyInvestMin"": ""50"", ""fundCnyInvestMin"": ""50\u4e07"", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""500"", ""fundUsdInvestMax"": """"}",,,
160,131720,周振邦,千山锦绣投资管理有限公司,,,,"O2O,金融,移动互联网",0,"ANGEL,PRE_A,A,B,C,D,E","{""fundCnyInvestMax"": ""1000"", ""cnyInvestMin"": ""10"", ""mainInvestCurrency"": ""CNY"", ""fundCnyInvestMin"": ""100"", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": ""100"", ""fundUsdInvestMax"": """"}",,,
199,143259,董利,华泽集团医疗投资部总监,,,,"O2O,智能硬件,医疗健康",0,A,"{""fundCnyInvestMax"": """", ""cnyInvestMin"": """", ""mainInvestCurrency"": ""USD"", ""fundCnyInvestMin"": """", ""fundUsdInvestMin"": ""0"", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": """", ""fundUsdInvestMax"": ""1000""}",,,
260,161823,李晶,曾就职于知名券商资管、券商直投，以大消费和TMT为主。,,,,"消费生活,广告营销,教育培训",0,"B,C,D","{""fundCnyInvestMax"": ""10000"", ""cnyInvestMin"": """", ""mainInvestCurrency"": ""CNY"", ""fundCnyInvestMin"": ""1000"", ""fundUsdInvestMin"": """", ""usdInvestMax"": """", ""usdInvestMin"": """", ""cnyInvestMax"": """", ""fundUsdInvestMax"": """"}",,,
