investDate,participant,name,latestPhase,industry,brief,investor_id,kr_id,amount,phase,kr_group_id,amountUnit,id
1430409600000,,杭州推特网络科技有限公司,NONE,,推特网络致力于成为基于中国6亿观众的娱乐内容营销引领者,100,112465,2000,A,150537,USD,326
1427817600000,,拉拉公园,NONE,,天使投资,100,112465,600,A,133960,USD,327
1404144000000,深创投,猫酷商场,A,SERVICE_INDUSTRIES,智慧商场系统解决方案提供商,100,112465,数千万,A,26959,CNY,328
1388505600000,"万嘉娱乐工场,黄斯沉",昆尚传媒,A,CULTURE_SPORTS_ART,新锐文化传媒公司,60,107205,250,ANGEL,138101,CNY,329
1427817600000,"洪泰基金,万嘉娱乐工场",MudRun泥泞跑,ANGEL,CULTURE_SPORTS_ART,极限运动赛事+IP运营,60,107205,500,ANGEL,146512,CNY,330
1362067200000,祥峰投资,凤凰医疗,B,MEDICAL_HEALTH,国内最早到香港上市的医疗管理集团,180,137395,,B,154563,CNY,331
1425139200000,祥峰投资,微芯生物,A,MEDICAL_HEALTH,国内领先的1.1类新药研发公司,180,137395,,A,154565,CNY,332
,,WE微,A,ADVERTISING_MARKETING,创新营销服务提供商,323,393,,,5221,,333
1427817600000,"君联资本,贝塔斯曼亚洲投资基金,DCM资本,光信资本",UCloud,C,SERVICE_INDUSTRIES,基础云服务商,304,172006,亿元及以上,C,4309,USD,334
1420041600000,光信资本,账贷通,A,FINANCE,致力于为企业打造流动资金管理解决方案的信息化金融服务提供商,304,172006,千万级,A,27453,CNY,335
1425139200000,光信资本,老师来了,A,EDUCATION_TRAINING,家教平台,304,172006,,A,31615,USD,336
1349020800000,,吞云小莳,NONE,OTHER,中国跨城市多品牌餐饮运营平台,294,166413,,,156421,USD,337
1356969600000,,乐友孕婴童,NONE,OTHER,中国最大的母婴连锁店,294,166413,,,156420,USD,338
1314806400000,,六间房,ACQUIRED,SOCIAL_NETWORK,视频社交网站和在线演艺直播平台,296,166252,,,4461,USD,339
,,LiveLOOK,NONE,OTHER,online collaboration,296,166252,,,156401,,340
,,Warby Parker,NONE,OTHER,眼镜电商,296,166252,,,156400,,341
1430409600000,,BitPay,NONE,OTHER,比特币支付,289,169089,,,156627,USD,342
1433088000000,,神州专车,A,OTHER,商务出行专车服务,278,163959,,,156319,USD,343
1420041600000,,物产中大,NONE,OTHER,世界五百强，浙江国企第一，国企改制,278,163959,,,156316,USD,344
1335801600000,,东硕环保,NONE,OTHER,工业水处理,278,163959,,,156312,USD,345
1275321600000,,高能时代,NONE,OTHER,环保行业龙头企业之一,278,163959,,,156311,USD,346
1430409600000,吉富创业投资股份有限公司,Rani Therapeutics,C,OTHER,硅谷的创业企业，研究口服注射液。GOOGLE、诺华等投资。,274,164145,,C,156538,USD,347
1433088000000,吉富创业投资股份有限公司,Zepp,C,INTELLIGENT_HARDWARE,专注于海外运动市场的可穿戴设备研发商,274,164145,,C,26838,USD,348
1393603200000,吉富创业投资股份有限公司,4399,E,ADVERTISING_MARKETING,休闲娱乐平台及游戏发行商,274,164145,22000,E,133760,CNY,349
1406822400000,,匙悟科技,A,INTELLIGENT_HARDWARE,主打智能床头灯的智能家居技术公司,261,165138,数百万,ANGEL,142342,CNY,350
1427817600000,,v2ex,NONE,OTHER,v2ex.com 程序员社区,261,165138,,,156463,USD,351
1427817600000,,Like,ANGEL,SOCIAL_NETWORK,Like-用“定向漂流瓶”连接“同类陌生人”，只晒给懂你的人,261,165138,,ANGEL,155711,USD,352
1412092800000,,云造科技,ANGEL,OTHER,浙大,261,165138,500,ANGEL,138579,CNY,353
1409500800000,,婴萌科技,ANGEL,INTELLIGENT_HARDWARE,智能冲奶粉机研发商,261,165138,,ANGEL,137119,USD,354
1398873600000,,UI中国,NONE,CULTURE_SPORTS_ART,UI界面设计师交流、学习、展示平台,261,165138,,,156457,USD,355
1380556800000,,顽皮科技,NONE,,witty tech,261,165138,,ANGEL,155332,USD,356
1325347200000,戈壁投资,拇指玩,A,GAME_ANIMATION,安卓手机游戏产品及内容服务提供商,261,165138,数百万,ANGEL,138147,CNY,357
1380556800000,,张小盒,NONE,OTHER,知名动漫品牌，切入箱包电商,261,165138,,,156451,USD,358
1388505600000,,秀美甲,A,CONSUMER_LIFESTYLE,为美甲行业提供美甲美图分享和美甲店信息的手机应用,261,165138,数百万,ANGEL,27739,CNY,359
1354291200000,"戈壁投资,英诺天使基金",粉粉日记,A,SOFTWARE,粉粉日记是一个手机版的日记软件。,261,165138,数百万,ANGEL,19657,CNY,360
1398873600000,"真格基金,梧桐树资本,高胜涛",太火鸟,A,E_COMMERCE,主打原创产品的社会化电商平台,261,165138,200,ANGEL,28819,USD,361
1338480000000,"真格基金,亚杰基金,天使湾创投",大姨吗,C,MEDICAL_HEALTH,一款以经期健康为核心关爱女性健康的手机应用,261,165138,数百万,ANGEL,4980,CNY,362
1333209600000,"戈壁投资,经纬中国",Camera360,B,SOFTWARE,手机拍照应用,261,165138,数千万,A,5299,CNY,363
,,喆喆兔,NONE,OTHER,辣妈母婴特卖,262,164727,,,159224,,364
1385827200000,,天煌制药,NONE,,独特的头孢菌素类产品生产商,255,162385,,,157800,USD,365
1409500800000,暾澜投资,临夏清河源,B,OTHER,最大的牦牛、藏羊繁育、屠宰、精深加工穆斯林食品企业,255,162385,,B,160196,USD,366
,,留青文化,NONE,OTHER,高层次艺术交流平台,255,162385,,,160193,,367
1277913600000,何航程,奥瑞金金属包装,E,OTHER,中国金属包装旗舰,255,162385,,E,146669,USD,368
1267372800000,何航程,宜景环保,ANGEL,OTHER,废弃物再生利用的环保高科技企业,255,162385,,ANGEL,157498,USD,369
1280592000000,何航程,北京优朋普乐,PRE_A,OTHER,中国最大的互联网电视服务提供商,255,162385,,PRE_A,157494,USD,370
1285862400000,,新疆星沃,NONE,OTHER,西部最大的重型工程机械销售服务企业,255,162385,,,157516,USD,371
1349020800000,青巢基金,金石资源,E,OTHER,中国萤石行业中拥有资源储量、开采及生产加工规模最大的企业,255,162385,,E,157510,USD,372
1283270400000,何航程,秦川机床,E,OTHER,我国精密机床制造行业的龙头企业,255,162385,,E,157506,USD,373
1417363200000,红杉资本,林氏木业,A,OTHER,家具电商第一,247,163482,,A,156340,USD,374
1354291200000,红杉资本,云海肴,A,OTHER,领先餐饮连锁,247,163482,,A,156333,USD,375
1435680000000,红杉资本,云米,A,OTHER,小米生态链净水器,247,163482,,A,156328,USD,376
1427817600000,红杉资本,一米鲜,A,CONSUMER_LIFESTYLE,生鲜O2O,247,163482,,A,156324,USD,377
1398873600000,红杉资本,泰笛洗涤,A,CONSUMER_LIFESTYLE,线上对线下洗衣服务公司,247,163482,,A,136994,USD,378
1393603200000,"IDG资本,红杉资本",达令礼物店,B,E_COMMERCE,礼物分享式购物平台,247,163482,数百万,A,30354,USD,379
1404144000000,,小麦公社,C,OTHER,国内领先的校园综合服务O2O平台,247,163482,,A,137025,USD,380
1433088000000,岚源资本,学渣乐园,ANGEL,OTHER,教育视频CP，涵盖小学，中学，高中，新概念,237,159612,,ANGEL,159230,USD,381
1425139200000,岚源资本,跑跑兼职,PRE_A,SERVICE_INDUSTRIES,大学生兼职服务平台,237,159612,,PRE_A,138984,USD,382
1406822400000,岚源资本,工猫招工社区,ANGEL,SERVICE_INDUSTRIES,手机上的蓝领招工社区，提供专注务工者求职交友的移动应用,237,159612,,ANGEL,145684,USD,383
1427817600000,岚源资本,懒到家,A,CONSUMER_LIFESTYLE,专业的O2O洗涤服务、奢侈品维修保养服务平台,237,159612,,PRE_A,142037,USD,384
,,悠先点菜,B,CONSUMER_LIFESTYLE,线上点餐搜索餐厅应用,237,159612,,,137055,,385
1401552000000,,杭州掌游,ANGEL,OTHER,手游app开发,233,160516,100,ANGEL,155840,CNY,386
