investDate,participant,name,latestPhase,industry,brief,investor_id,amount,phase,kr_group_id,amountUnit,id
2014-07-01 00:00:00,"漫游天下投资,青山资本,梅花天使创投",售房宝,A,SOFTWARE,移动办公软件开发商,20018,数百万,ANGEL,30274,CNY,1
2015-03-01 00:00:00,"青山资本,梅花天使创投",BellaBuy,ANGEL,OTHER,为美而生的年轻女性移动跨境电商平台,20018,数百,ANGEL,146623,CNY,2
2014-05-01 00:00:00,"青山资本,梅花天使创投,安芙兰创投",美容总监,A,CONSUMER_LIFESTYLE,美容总监是中国首家基于移动互联网的上门美容oto平台,20018,数百万,ANGEL,146624,CNY,3
2014-06-01 00:00:00,IDG资本,易结网,A,E_COMMERCE,定制婚礼的互动平台，供商家和新人们交流互动，定制简单个性婚礼,20017,,A,26794,USD,4
2014-07-01 00:00:00,IDG资本,河狸家,C,CONSUMER_LIFESTYLE,提供美甲及化妆上门服务的O2O手机应用,20017,3000,A,133805,CNY,5
2014-12-01 00:00:00,IDG资本,Interfocus,PRE_A,OTHER,针对海外市场的母婴、玩具移动电商,20017,,PRE_A,143297,USD,6
2015-01-01 00:00:00,"华欧创投,黄太吉,分享阳光投资",妈妈的菜,ANGEL,CONSUMER_LIFESTYLE,社区私厨订购私房菜的餐饮消费平台,20013,,ANGEL,136864,USD,7
2006-12-01 00:00:00,,华谊兄弟,IPO,CULTURE_SPORTS_ART,知名综合性民营娱乐集团,20013,,B,131811,USD,8
2006-12-01 00:00:00,,爱康国宾,D,MEDICAL_HEALTH,体检与健康管理服务,20013,,A,131913,USD,9
2005-01-01 00:00:00,,58同城,E,CONSUMER_LIFESTYLE,分类信息及本地生活服务网站,20016,,ANGEL,5007,USD,10
2005-08-01 00:00:00,,暴风影音,D,CULTURE_SPORTS_ART,一个视频播放器软件、网络视频服务网站，产品覆盖PC和手机、平板等，隶属于北京暴风科技股份有限公司。,20016,,ANGEL,4882,USD,11
2013-08-01 00:00:00,,飞鱼科技,IPO,GAME_ANIMATION,网页游戏及手机游戏研发商,20016,,ANGEL,131898,USD,12
2014-03-01 00:00:00,隆领投资,蜜淘,B,E_COMMERCE,领先的海外限时特卖平台,20016,,ANGEL,131618,CNY,13
2014-11-01 00:00:00,源码资本,百布,PRE_A,OTHER,布料B2B平台,20039,,PRE_A,159895,USD,14
2015-04-01 00:00:00,源码资本,贝米钱包,A,FINANCE,互联网理财产品，专注于安全、便捷与高收益的平衡创新,20039,,PRE_A,153869,USD,15
2014-07-01 00:00:00,源码资本,懒投资,A,FINANCE,专为懒人打造的优质理财平台,20039,,ANGEL,131761,CNY,16
2014-09-01 00:00:00,源码资本,快消总管,A,ADVERTISING_MARKETING,移动采购电商平台,20039,数百,A,10520,USD,17
2014-08-01 00:00:00,源码资本,银客网,B,FINANCE,创新型互联网金融平台,20039,,A,137048,USD,18
2011-12-01 00:00:00,天使湾创投,洋码头,B,E_COMMERCE,帮助国内消费者进行海外购物的跨国购物电子商务服务商,20059,500,ANGEL,3580,CNY,19
2014-10-01 00:00:00,,阿卡,NONE,OTHER,领先的淘品牌女装,20040,,,160092,USD,20
