startDate,endDate,brief,investor_id,groupName,isCurrent,position,kr_group_id,id
2003-01-01 12:00:00,9999-09-09 09:09:09,专注于数字化媒体服务的公司,20013,分众传媒,True,创始人,5184,3
2014-06-01 12:00:00,9999-09-09 09:09:09,用清单方式来分享生活的垂直社区,20009,轻单,True,创始人,141760,4
2007-04-01 12:00:00,9999-09-09 09:09:09,互联网博客,20009,可能吧,True,创始人,146730,5
2010-06-01 12:00:00,2014-06-01 12:00:00,聚焦互联网产品和科技趋势的创新者社区,20009,极客公园,False,联合创始人,5566,6
2008-12-01 12:00:00,9999-09-09 09:09:09,手机图片及视频产品研发商,20016,美图网,True,联合创始人,1929,1
2004-01-01 12:00:00,2008-10-01 12:00:00,分类网址网站，提供上网导航及其他服务,20016,265.com,False,创始人,133795,2
,9999-09-09 09:09:09,互联网创业平台,20101,36氪,True,联合创始人,1515,7
2013-05-01 12:00:00,9999-09-09 09:09:09,sdfsdfsdfasdsdf,20096,adsfsdf,True,创始人,133701,8
2007-05-01 12:00:00,2011-09-01 12:00:00,海外游戏发行,20096,IngleGames,False,联合创始人,139822,9
2014-01-01 12:00:00,9999-09-09 09:09:09,洗衣、家政服务、清洁服务于一身的互联网技术公司,20091,e袋洗,True,联合创始人,13778,10
2010-12-01 12:00:00,2012-01-01 12:00:00,专注于英国本地华人的目的地旅行,20089,英国海诺旅行,False,联合创始人,139808,11
2004-10-01 12:00:00,9999-09-09 09:09:09,通过网站、手机客户端为用户提供海量视频内容的视频媒体,20085,PPTV,True,创始人,4883,12
1999-03-01 12:00:00,9999-09-09 09:09:09,IT技术社区和服务平台,20081,CSDN,True,创始人,5304,13
2009-11-01 12:00:00,2012-02-01 12:00:00,基于图像识别技术的自动化游戏虚拟物品交易平台,20080,中青盛联,False,联合创始人,136717,14
2008-08-01 12:00:00,2009-10-01 12:00:00,印刷行业软件公司,20080,凌云科技,False,创始人,136716,15
2011-09-01 12:00:00,2012-09-01 12:00:00,基于大数据与语义分析的社交应用公司，A轮后已收摊,20068,深圳乐荐网络科技有限公司,False,联合创始人,137391,16
2008-08-01 12:00:00,2012-06-01 12:00:00,国内曾排名第一的页游公司目前在原业务基础上大力拓展手游市场,20068,杭州乐港科技有限公司,False,联合创始人,137390,17
2012-09-01 12:00:00,9999-09-09 09:09:09,好文章推荐平台,20056,PEVCTMT,True,联合创始人,8828,19
2015-02-01 12:00:00,9999-09-09 09:09:09,全国最大的中医在线问诊平台,20058,冬日中医,True,联合创始人,133737,18
2009-04-01 12:00:00,2014-08-01 12:00:00,晨致教育为海外留学生提供一站式升学服务,20053,晨致教育,False,创始人,134843,20
2005-05-01 12:00:00,2007-06-01 12:00:00,知道你口味的音乐推荐引擎,20052,8box.cn,False,联合创始人,134922,21
2013-09-01 12:00:00,2014-10-01 12:00:00,零基础绘画,20034,游乐绘,False,联合创始人,157158,22
2015-01-01 12:00:00,9999-09-09 09:09:09,电子元器件领域的搜索引擎,20121,ICJIA,True,联合创始人,6247,23
2011-06-01 12:00:00,9999-09-09 09:09:09,移动互联网的招聘社区,20141,周伯通,True,创始人,959,24
2005-09-01 12:00:00,2008-04-01 12:00:00,每日备备充电备份器,20241,每日科技,False,联合创始人,134885,25
