startDate,endDate,brief,investor_id,groupName,isCurrent,position,kr_group_id,id
2012-01-01 01:01:01,9999-09-09 09:09:09,青山资本（原华璟海纳资本）是结合本土特点和国际化视野而创立的股权投资公司，长期致力于发掘高成长的早期优质项目。自2012年成立至今，青山资本已投资一批具有高爆发潜力的创业团队，并在许多成功企业的发展过程中起到重要作用。投资领域涉及TMT、移动互联网、医疗健康、文化创意等新兴行业，是一家多元化的创业投资机构。,20018,青山资本,True,CEO,2122,2
2013-03-01 01:01:01,9999-09-09 09:09:09,"丰厚投资管理（北京）有限公司成立于2012年，由谭群钊（前盛大集团总裁）、杨守彬（知名创业者与投资人）、岳弢（巨人网络联合创始人）、吴智勇（资深投资专家）四人联合创立， 在北京和上海两地设立办公室，专注于基于互联网的“大消费、泛娱乐、金融创新”相关领域的早期投资。
丰厚资本聚集了约40位LP（有限合伙人），主要包括四类人：上市公司创始人、知名互联网公司的高管、国际金融机构中国区高管或负责人、著名传媒人士，丰富的LP资源为创业者带来更多资源分享和合作。",20019,丰厚资本,True,创始合伙人,633,3
2011-11-01 01:01:01,9999-09-09 09:09:09,北京磐谷创业投资有限责任公司是一家专注于投资中国新兴产业的私人股权投资公司，公司以磐谷资本为管理平台组建了多家项目投资公司，分别是：上海卡日曲投资有限公司、天津执象股权投资基金合伙企业（有限合伙）、天津和悦谷雨股权投资基金合伙企业（有限合伙）、天津和易谷雨股权投资合伙企业（有限合伙）。,20020,磐谷创投,True,创始合伙人,1892,1
2011-10-01 01:01:01,9999-09-09 09:09:09,"IDG资本专注于与中国市场有关的VC/PE投资项目，在香港、北京、上海、广州、深圳等地设有办事处。
IDG资本重点关注消费品、连锁服务、互联网及无线应用、新媒体、教育、医疗健康、新能源、先进制造等领域的拥有一流品牌的领先企业，覆盖初创期、成长期、成熟期、Pre-IPO各个阶段，投资规模从上百万美元到上千万美元不等。
自1992年开始，作为最早进入中国市场的国际投资机构之一，IDG资本已投资包括百度、搜狐、腾讯、搜房、携程、汉庭、如家、金蝶、物美、康辉、九安等200家优秀企业，并已有超过60家企业在美国、中国香港、中国A股证券市场上市。",20017,IDG资本,True,副总裁,94,5
,9999-09-09 09:09:09,"IDG资本专注于与中国市场有关的VC/PE投资项目，在香港、北京、上海、广州、深圳等地设有办事处。
IDG资本重点关注消费品、连锁服务、互联网及无线应用、新媒体、教育、医疗健康、新能源、先进制造等领域的拥有一流品牌的领先企业，覆盖初创期、成长期、成熟期、Pre-IPO各个阶段，投资规模从上百万美元到上千万美元不等。
自1992年开始，作为最早进入中国市场的国际投资机构之一，IDG资本已投资包括百度、搜狐、腾讯、搜房、携程、汉庭、如家、金蝶、物美、康辉、九安等200家优秀企业，并已有超过60家企业在美国、中国香港、中国A股证券市场上市。",20017,IDG资本,True,投资经理,94,6
2013-01-01 01:01:01,2014-09-01 01:01:01,提供关于中国与美国的最前沿科技创业资讯的前沿科技媒体,20015,PingWest,False,产品,137991,4
2009-03-01 01:01:01,9999-09-09 09:09:09,长安私人资本是中国领先的以自有本外币资本金进行境内外股权投资的投资机构，专注于投资市场化的、具有内生性高增长和成为行业领袖潜力的中国中小民营企业。公司主要合伙人从事股权投资已有逾15年历史，投资企业30余家，成功投资并退出如沃森生物（SZ:300142）、超威动力（HK:00951）、隆平高科（SZ:000998）、西部水泥（HK:02233）、奥瑞金（SZ:002701）、中炬高新（SH:600872）、启源装备（SZ:300140）和天和防务（首发过会）等。长安私人资本的团队成员具有丰富的国内国际市场的专业投资经验，包括国际投资机构人士、知名经济学家和成功创业人士。,20011,长安私人资本,True,创始合伙人,1902,8
2010-03-01 01:01:01,9999-09-09 09:09:09,北京华创盛景投资管理有限公司成立于2010年，由李汉生、彭志强和王晓清担任创始管理合伙人，是一支跟投基金。,20014,华创盛景,True,管理合伙人,388,7
2015-06-01 01:01:01,9999-09-09 09:09:09,"创新工场成立于2009年，由李开复博士创立。创新工场是一家早期投资机构，同时为创业者提供全方位的创业服务。
创新工场的投资方向立足于信息产业最热门的领域：移动互联网、消费互联网、电子商务和云计算；主要涉足的投资阶段为：种子轮、天使轮和A轮，B轮会有选择的进行跟投。",20009,创新工场,True,投资总监,110,10
2013-01-01 01:01:01,9999-09-09 09:09:09,"隆领投资由天使投资人蔡文胜先生创办，旨在帮助更多创新创业。
隆领投资是一家早期投资机构，包括种子轮、天使轮和A轮；隆领投资已经投资了包括美图秀秀、 4399游戏、 暴风影音、58同城等数十个互联网公司，投资领域涉及移动互联网、智能硬件、教育创新、金融创新、人工智能。",20016,隆领投资,True,创始合伙人,292,9
