id,src_id,src,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
1,xiebo,fellowplus,谢波,启赋资本 • 投资总监,曾创办：博颖科技、善思科技；曾投资：考拉先生、巴图鲁、Mobido、金华佗。,2014,5,2,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,10 个,汽车、医疗健康、人工智能、B2B、SaaS,广州、深圳
2,ziliu,fellowplus,子柳,阿里早期员工 • 前淘宝技术大学校长,天使投资人,2014,3,3,,种子轮/天使轮、Pre-A 轮、A 轮,50W - 1000W 人民币,未确定,社交、O2O,杭州
3,zhongli,fellowplus,钟立,太冠资本 • 合伙人,曾投资：啪啪三国、i4手机助手、Vshare、米粒影业、乔布堂、手机贷等。,2011,30,18,3,种子轮/天使轮、Pre-A 轮,100W - 500W 人民币,15 个,娱乐、O2O,北京、上海、深圳、杭州、苏州
4,libo,fellowplus,李波,峰谷资本 • 合伙人,曾投资：联创工场、盛景网联、阿尔法公社、晨晖创投等。,2007,12,7,5,种子轮/天使轮、Pre-A 轮、A 轮,100W - 3000W 人民币,6 个,金融、旅游、企业级应用/服务、新制造业、新内容生态,北京
5,lankangtai,fellowplus,蓝康泰,信天创投 • 投资经理,曾投资：小雨伞保险、物银通、法大大,2014,3,1,,种子轮/天使轮、Pre-A 轮,100W - 1500W 人民币,5 个,金融、智能硬件、农业、企业级应用/服务,上海、广州、深圳、杭州、厦门
6,xujianhai,fellowplus,徐建海,险峰华兴 • 投资经理,曾投资：企查查，拓实医疗。,2013,4,4,,种子轮/天使轮、Pre-A 轮,100W - 1000W 人民币,12 个,金融、农业、视频、企业级应用/服务、撮合交易平台,北京、上海、深圳、杭州、苏州
7,xujiahuan,fellowplus,徐佳欢,盈动投资 • 高级投资经理,曾参与投资：巴别鸟，哪上班，每人计。关注企业服务与分享经济。,2014,3,,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 2000W 人民币,5 个,商业智能/BI、大数据、企业级应用/服务、B2B、SaaS,上海、杭州
8,zhaoyang,fellowplus,赵阳,险峰华兴创业投资 • 副总裁,曾投资：财富桥、链农、抱抱、懂球帝、抱抱、Mono、医加壹等,2013,15,10,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 2000W 人民币,10 个,金融、农业、社交、B2B、撮合交易平台,北京
9,songpengkai,fellowplus,宋鹏凯,娱乐工场 • 投资管理总监,曾投资：天工异彩、猪猪侠、芭乐、法海网、时代影响力、蓝港在线。影视，动漫，游戏，演艺，时尚等泛娱乐类投资。,2009,18,18,8,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,20 个,女性、新媒体、文创、娱乐、新内容生态,北京
10,yangjunzhe,fellowplus,杨俊哲,InnoSpace • 投资主管,曾创办：WeCampus。曾投资：VEO、1KE、盈行家。,2015,10,2,,种子轮/天使轮,10W - 300W 人民币,10 个,VR、人工智能、自动化、企业级应用/服务、技术创新,北京、上海、广州、杭州
11,zhangshuyao,fellowplus,张舒峣,云天使基金 • 投资经理,关注：云计算&智能硬件,2015,,,,种子轮/天使轮,0W - 600W 人民币,3 个,智能硬件、大数据、云服务、企业级应用/服务,北京
12,guolu,fellowplus,郭路,诺基亚成长伙伴基金 • 执行董事,曾投资：美餐网、Zubie等。寻找”杀手级“的应用。,2010,15,,,A 轮、B 轮,20W - 6000W 人民币,4 个,O2O、汽车、交通、教育、娱乐、物联网,北京、上海、深圳、杭州
13,hulangtao,fellowplus,胡浪涛,中美创投 • 执行合伙人,曾投资：中青宝，蓝盾股份，慈文影视，天晟新材，神州高铁等。,2008,30,10,6,种子轮/天使轮、Pre-A 轮、A 轮,200W - 2000W 人民币,20 个,新媒体、海外市场、智能硬件、文创、社区,北京、上海、广州、深圳、杭州
14,wuzhengyu,fellowplus,吴正宇,德沃基金 • 创始合伙人,曾投资：融360、摩贝信息、大特保等。,2011,26,10,,种子轮/天使轮、A 轮,100W - 600W 人民币,20 个,人工智能、B2B,北京、上海
