phase,investor_id,brief,name,id
已完成 A 轮融资,1,“巴图鲁”是巴图鲁汽车配件交易平台的简称，是中国第一个以解决消费终端即时需求为特征的车配件在线交易平台，交易流程是以汽修厂在线发布汽配询价，汽配供货商即时报价以达成订单的平台，相当于一个全国性的24小时的汽配供货店。,巴图鲁,1
已完成天使轮融资,1,星伦网络作为中国领先的移动内容管理供应商，利用全球领先技术为行业龙头提供一流的移动内容管理服务，同时创建移动内容管理，并针对中国市场特色，开发本土化核心技术，为客户提供更高性价比的解决方案。,Mobido,2
已完成 A 轮融资,1,生活圈是国内首个去中心化的O2O智能社区服务平台，生活圈是基于智能化物业服务，以微信公众平台为依托建立的小区微信公众管理平台群系。,考拉先生/生活圈,3
已被并购,3,啪啪三国是一款3D卡牌策略游戏，上海火溶信息科技有限公司旗下。,啪啪三国,4
已被并购,3,苹果设备越狱工具，集一键查询shsh、一键备份shsh、一键刷机功能于一身，打造智能、高效的iOS分发平台。,i4手机助手,5
已完成 A 轮融资,3,一站式Apple软件下载平台，集iOS设备管理软件、游戏、壁纸、铃声资源的下载安装和管理工具。,Vshare,6
已完成 A 轮融资,3,一家家庭娱乐和影视服务商，致力于电影、动漫的策划、制作、投资、运营、管理、引进、发行、授权、衍生产品开发及销售的国际化专业公司。作品有《龙之谷》等。,米粒影业,7
已完成天使轮融资,4,帮助初创公司，或是成长型企业，搭建产品研发团队来孵化产品、建立研发流程、搭建技术架构、提供创业支持。 ,联创工场,8
已完成天使轮融资,4,天使投资基金和创业加速器。,阿尔法公社,9
已完成天使轮融资,5,新成立的保险特卖网站，基于互联网大数据、联合国内专业保险公司，为具有特定相似属性的人群设计专属保险产品，如面向妈妈们的少儿重疾险等。,小雨伞保险,10
已完成天使轮融资,5,中小企业信息整理分析的大数据平台，为中小企业解决资金需求和获得客户，帮助银行进行市场营销。,物银通,11
已完成天使轮融资,5,O2O模式的互联网法律电商平台，主要为互联网金融及O2O电商企业/个人提供在线电子合同缔约、证据托管等服务，并依托瀛和律师机构线下20余家律所提供合规审核、债权保障、争议解决等服务。,法大大,12
已完成 A 轮融资,6,企查查是一个用于企业查询的在线网站，通过查询企业信息，查看评价，帮助查询人获取相关信息。隶属于苏州朗动网络科技有限公司。,企查查,13
已完成 A 轮融资,6,拓实医疗是依托北京三甲医院、部队医院、上市药企等医疗资源，利用互联网技术建立产业链上下游链新模式，为终端用户提供贴心细致的健康管家和私人医生服务的互联网医药平台。,拓实医疗,14
已完成天使轮融资,7,巴别鸟是一个面向设计师和甲方项目协作沟通的工具，可以支持用户在移动端进行查稿，用户还可以通过圈点的方式指明要评论的地方。,巴别鸟,15
已完成 A 轮融资,7,主打IT职位的招聘服务网站，主要专注服务于互联网界人才与企业。,哪上班,16
已完成天使轮融资,7,每人计是一款解决实体店客流统计问题的产品，为线下门店提供客流访问统计和分析服务等。,每人计,17
已完成 B 轮融资,8,匿名社交分享网站，主打匿名分享秘密和小心情。,抱抱,18
已完成 B 轮融资,8,懂球帝是一个专注于足球的体育资讯和社区，旗下有懂球帝APP等。,懂球帝,19
已完成 A 轮融资,8,MONO是一个手机上的文化媒体平台，为用户提供高品质的阅读服务，包括见识、设计、文化等。,MONO,20
已完成 B 轮融资,8,链农（FarmLink）是一家餐馆供应商，为餐饮行业提供高性价比的一站式食材采购服务。,链农,21
已完成 A 轮融资,9,天工异彩是一家专业的全流程影视技术服务公司，尤其主打电影后期制作等，由业界四家知名后期制作公司——天工映画、异彩影视、乐盛文化、异彩映画重组而成，之前曾包揽过华谊兄弟影业出品的几乎所有影片后期制作。,天工异彩,22
已完成 B 轮融资,9,芭乐传媒是一家原创影视发行、运营平台及影视植入式营销平台。芭乐互动（北京）文化传媒有限公司旗下。,芭乐,23
已完成 A 轮融资,9,法海网是一家专注于为中小企业提供在线法律服务以及法律综合解决方案的互联网企业。,法海网,24
已完成天使轮融资,10,VEO是一家在线云视频服务提供商，为开发者提供主打视频通讯能力的PAAS平台服务，提供的API、SDK和打包的应用程序，支持视频通话、屏幕共享、注释、示例代码和在线文档等服务，上海纽视网络科技有限公司旗下产品。,VEO,25
已完成天使轮融资,10,专为IT求职者打造的技能学习平台。1KE致力于帮企业定向输送IT从业者的教育平台。同时，1KE希望把全球最好的教育，免费地带给所有人，帮更多人在兴起的互联网行业找到更好的工作，实现梦想。,1KE,26
已完成天使轮融资,10,盈行家是一个利用真实数据做为模拟环境的理财工具。,盈行家,27
已完成 B 轮融资,12,一个网站及手机上的订餐服务，提供外卖详细菜单及个人订餐、企业订餐服务。北京轻松每餐科技有限公司旗下产品。,美餐网,28
已完成 A 轮融资,12, 车载智联设备。,Zubie,29
已上市,13,深圳中青宝互动网络股份有限公司成立于2003年，是一家具有自主研发、运营能力、代理能力的专业化网络游戏公司。,中青宝,30
已上市,13,蓝盾信息安全技术股份有限公司是中国信息安全行业领先的专业网络安全企业和服务提供商。,蓝盾股份,31
已上市,13,慈文传媒是一家影视制作公司，是集电视剧、电影、动画制作等为一体的大型传媒机构，作品有《西游记》、《青盲》、《5号特工组》系列、《神雕侠侣》、《射雕英雄传》、《七剑下天山》等。,慈文影视,32
已完成 C 轮融资,14,提供专业的融资贷款搜索、比较服务，为用户量身定制贷款产品。,融360,33
已完成 B 轮融资,14,化学品采购搜索引擎，提供在线化学品数据信息、化学品目录、产品供应商和采购商对接服务等。,Molbase摩贝/摩库数据,34
已完成 B 轮融资,14,保险特卖平台。,大特保,35
已完成 B 轮融资,15,在线教育培训服务商，基于YY语音等提供制图、影音制作等课程。,邢帅教育,36
已完成 A 轮融资,15,移动应用开发者平台，为App开发者提供云端的API服务和数据存储服务，支持在线NoSQL数据表设计、API调试及用量分析；同时提供推送、云修复、大数据分析等服务。APICloud由“云API”和“端API”两部分组成，可以帮助开发者快速实现移动应用的开发、测试、发布、管理和运营的全生命周期管理。,APICloud,37
已完成 A 轮融资,15,直播课程搜索平台，为大家提供全网直播课程服务。,选课网,38
已被并购,16,快按钮KlicK是一个安卓手机的智能快捷键设备，将其插入手机的耳机插孔，就可以通过预设手势快速启动心水的功能。上海智朴科技发展有限公司旗下。,快按钮,39
已完成 B 轮融资,16,杭州古北电子科技有限公司是一家物联网及智能家居解决方案服务商，提供BroadLink系列智能插座、智能遥控、家庭空气质量分析仪等产品，是湖北杰澳电子科技关联公司。,Broadlink,40
已完成 A 轮融资,16,主打原创产品的社会化电商平台，利用众筹到众包方式，整合创意产品社区与电子商务服务为一体，帮设计师成就梦想，助消费者品味生活。,太火鸟,41
已完成 A 轮融资,16,国内最好的跑步社区品牌，产品包括线上工具，以及线上线下的各种联赛，还有相关装备,悦跑圈,42
已完成 A 轮融资,16,针对年轻人定位的智能电动车品牌。,小牛科技,43
已完成 A 轮融资,17,中国最大、最接地气、最具活力的社区“服务+社交+电商”B2B2C服务平台，创造最和谐的物业、业主和优质商家的社区关系。,考拉先生/生活圈,44
已完成 D 轮融资,17,中国最大、品牌最强、最专业的基于大数据应用的教育和金融信息化的综合方案提供商。,国泰安,45
已完成 C 轮融资,17,拥有超过900家三级以上医院、30万医生和1900万病人的“好医院+好医生+好病人”移动医疗B2B2C服务平台。,就医160,46
已完成 A 轮融资,18,创意情趣用品体验商店。,泡否,47
已完成 A 轮融资,18,海外中文短租和特色旅游产品预订平台。,住百家,48
已完成 A 轮融资,18,“饭扫光”牌下饭菜母公司四川高福记食品有限公司成立于2000年，主要从事川味调味品的研发、生产和销售，公司拳头产品为“饭扫光”牌下饭菜。,饭扫光,49
已完成天使轮融资,19,NewBand牛班网是一个主打在线音乐教育类服务产品，主打“明星音乐教室”，邀请乐坛高手参与音乐教学服务。上海纽班文化发展有限公司旗下产品。,牛班网,50
已完成天使轮融资,19,第一弹是一个专业的二次元社交社区。,第一弹,51
已完成天使轮融资,19,岂安科技是一家致力于为企业客户提供账户、业务类安全风险控制的解决方案的公司，通过安全技术、大数据分析解决各类业务安全风险。,岂安科技,52
已完成天使轮融资,20,动作类游戏手游,火柴人联盟,53
已完成 B 轮融资,21,锁屏服务应用提供商。,锁屏精灵,54
已完成 B 轮融资,21,多听科技是一家专注于移动互联网音频分享的公司，核心产品主要有：“音频分享平台”、“多听单行本”、“点播电台”，此外还有硬件产品多听V电台等。,多听,55
已完成 A 轮融资,21,快用苹果助手是一个苹果设备及应用安装管理工具，北京悠然天地科技有限公司旗下。,快用,56
已完成 A 轮融资,21,App每日推送是一个向用户推送iPhone或者iPad上最新免费和限时免费APP的服务平台，广州触虎网络科技有限公司旗下产品。,APP每日推送,57
已完成 A 轮融资,22,新成立的智能路由器产品，深圳市云猫信息技术有限公司旗下产品。,光年路由器,58
已完成天使轮融资,22,主打女神电影众筹平台的网站，深圳开拍网科技有限公司旗下产品。,开拍网,59
已完成天使轮融资,23,莉莉丝游戏公司推出的动作卡牌手游,刀塔传奇 ,60
已完成 A 轮融资,24,车置宝是一家二手车在线买卖交易网站，主打二手车帮卖网络竞价，为车主提供全程免费的一站式卖车服务。江苏乐博投资有限公司旗下网站。,车置宝,61
已完成天使轮融资,24,巴别鸟是一个面向设计师和甲方项目协作沟通的工具，可以支持用户在移动端进行查稿，用户还可以通过圈点的方式指明要评论的地方。,巴别鸟,62
已完成 A 轮融资,27,以水墨画风表现武林江湖的ARPG大游戏作品，其前身为单机游戏《雨血》系列,影之刃,63
已完成 A 轮融资,27,根据电影改编的冒险类手机游戏,超级英雄,64
已完成 A 轮融资,28,构建路上语音社交社区。,上海语镜汽车,65
已完成 C 轮融资,28,于2005年在深圳创立，目前在新加坡、肯尼亚（非洲）均设立了控股子公司，在国内广东、上海、北京、湖南、湖北等设立了办事处，是业界领先的移动商务技术、“手机凭证”技术解决方案提供商、物联网技术提供商、电子商务业务运营商。,深圳泰久,66
已完成 B 轮融资,29,室内装修效果图在线设计平台，用户可以在酷家乐方便地绘制户型图、获得免费户型风水报告、更能得到最专业的户型改造建议。,酷家乐,67
已完成 C 轮融资,29,P2P网络借贷和金融服务网站,点融,68
已完成 D 轮融资,29,"分类信息和本地消费生活服务网站，致力于提供“连接所有生活需求”的信息平台,帮助用户方便查找和发布二手物品交易、二手车买卖、房屋租售、招聘求职、交友活动、宠物领养、生活服务等本地生活信息。",百姓网,69
已完成 D 轮以上融资,29,本地生活消费平台及O2O服务商，通过网站、APP等为用户提供各类生活服务和团购等，隶属于上海汉涛信息咨询有限公司。,大众点评,70
已完成 D 轮融资,30,拥有美图秀秀、美颜相机、美拍、美图手机等产品，移动端拥有8.5亿用户。,美图,71
已完成 A 轮融资,30,专注于Android平台的服务商，提供OEM厂商turn-key产品方案、为运营商提供互动电视运营方案等，旗下产品有泰捷视频、泰捷手机遥控等。,泰捷视频,72
已完成 B 轮融资,30,专注于上下班出行的P2P共享用车和拼车服务平台，为用户提供顺风车对接服务，北京天和亿科技有限公司旗下产品。,天天用车,73
已完成 A 轮融资,30,主打高端汽车上门保养服务的平台，以高端汽车上门保养为基础，扩展各项汽车使用过程代办业务的增值服务内容，为高端车主提供用车、养车、爱车体系化的有力支撑。,博湃养车,74
已完成 A 轮融资,31,生意专家为实体商户提供卓越的一站式开店产品。通过生意专家，管理繁琐的收银记账、客户关系、商品利润，并集成了各种创新的电子商务工具，帮助商家降低经营成本，提升顾客购物体验，增加销售收入。生意专家合了记账软件、收银系统、进销存软件、会员管理系统为一体；为超过10万商家轻松解决日常店铺管理的所有问题。,生意专家,75
已完成 A 轮融资,31,"SaaS运营商,提供免费、简单、易用的进销存、ERP软件、连锁管理软件。",百草科技,76
已完成 A 轮融资,31,云计算时代安全的虚拟化产品及解决方案提供商，产品有VirNOS虚拟网络安全管理系统、远为虚拟安全桌面vSec Desktop等。,远为软件,77
已完成天使轮融资,32,国内第一款针对创业企业费用管理的轻量级应用解决方案，通过微信、SAAS后台以及APP轻松搞定早期企业的报销及现金流管理问题。,闪电报销,78
已完成 A 轮融资,32,深夜美食外卖平台，配送时间为晚上9至凌晨5点。,拼豆夜宵,79
已完成天使轮融资,32,简洁的资产管理APP 。,财鱼管家,80
已完成 A 轮融资,32,面向女性同性恋的移动社交网络。,The L,81
