answer,question,id,investor_id
1、多年职场创业者，重点会关注过往背景和经验，且创始团队能力互补。2、年轻的创业者，比较关注创造力，偏好技术能力强，有市场意识的团队。 ,你青睐什么样的创业者？,1,1
我个人重点关注B2B、车联网或汽车后市场、互联网医疗等领域项目；更倾向首选赛道，再看选手的投资逻辑，偏好自上而下的行业研究，确定有未来发展潜力和成长性的细分行业，分析细分行业竞争格局，有的放矢精选投资标的，快速出击锁定项目。,你的投资方法论？,2,1
一般从见团队到签Term sheet（投资条款清单/风险投资协议）的时间在2周左右。,你做一个决策的周期有多长？,3,1
个人非常重视和坚持项目投后增值服务的提供，前提是帮忙不添乱：1、个人多年IT从业和创业经历，可与创业者共同深度打磨和完善商业模式，整合行业资源。  2、启赋已布局产业生态圈资源间的合作学习与协同，启赋已投80个项目，均是产业生态圈布局式的投资逻辑，启赋企业家们的协同互动已常态化。3、创业者团队完善，人才引进。4、下一轮融资的规划与对接。,除了资金，你能为创业者提供的帮助还有哪些？,4,1
专注，线下执行力强,你喜欢什么样的团队，或者说你看团队的标准是什么？,5,2
两周,你一般做一个决策的周期有多长？,6,2
人才支持，曾推荐成功数名CTO,除了资金，您对创业者的其他帮助有哪些？这些帮助最后效果如何？,7,2
1，看重有良好初心的创业者。就是说你创业是出于兴趣，财务汇报还是满足一些潜在的巨大需求。2，青睐有决心的企业家。 ,你青睐什么样的创业者/团队？,8,3
看社交产品的角度有三个：内容、关系和玩法。比如建立关系的方式是否有效，关系能否持续或沉淀下来等等来评价一款产品。除了这三点，我更关心创业者是否足够独特，比如你是否很懂一个垂直领域，是否是你所要做方向的典型用户，是否关注到领域足够多的细节。如果你在一个领域里非常资深，甚至进化到了『妖人』，绝对是加分的。 ,你的投资方法论？,9,3
首先，帮助团队找到关键人，补充高手。再就是做公司市场方向的探照灯和思考的伙伴。第三，规划融资节奏。,除了资金，你对创业者的其他帮助还有哪些？,10,3
多数创业团队见完当场就会有判断，决策最长不超过一周。,你做一个决策的周期一般多长？,11,3
我觉得坚持是很重要的一点再就是有一定的格局，或者说有一定的视野。还有就是在行业里面要有积累。如果创业者是一个刚毕业的学生，或者一定要跨行创业的，其实还是比较难的。,你喜欢的创业者/创业团队一般具备哪些特点？,12,6
看人，人要对。我觉得未来有潜力的企业家，或者好的创业者的苗子其实市面上并不多，其实那些VC或者早期的天使都在对这个资源进行争夺。,你的投资方法论是什么？,13,6
第一点就是续融资，一般我们都会协助团队去搞定。二是我们会帮他们构建一些团队，比如从BAT里会挖一些优秀的人补充团队。第三个是战略规划，比如从行业里面去请一些大的人物来帮助他们。,除了资金，你还擅长对创业者提供哪些额外的帮助？这些帮助最后成效如何？,14,6
像我们投得很多项目很快，只要是对的人在我们判断有机会的行业里创业，我们会非常快的投资。比如说我们当时投 i4，其实第一次和他们见面，第二次过去协议就签掉了，一周之内就打钱了。,一般你做一个投资决策时间大约多久？,15,6
一是创业者对他所在行业看的特别深入。二是最好要有创业经验。,你青睐什么样的创业者？,16,12
我认为做与汽车相关的服务的创业者的组合一定是要跨界的，团队要有人对传统线下的资源更熟悉才行。我之前接触过一些团队有一个感觉：在线下拥有较多资源能积累的人一般容易找到具备线上经验的合伙人，互相拟补对方不足。但一个纯线上出身的人去寻找线下的合伙人总是不那么力不从心，他可能也不知道去哪找。,你对被投资的团队的人员搭配上有什么要求？,17,12
目前市面上的一些车机硬件新品从体验来讲是不差于美国，甚至跑在美国当地创业者做出的产品前面的。不过这些新品中很多是在尝试去研发、应用一些汽车内的新技术，但我认为车联网硬件在这有一个瓶颈就是没有找到最佳人机互动的场景，说悲观一点核心技术在中国很难做。传统的OEM和ODM他们的新技术的来源还是从国外引进。创业者做这条路开始会吸引很多眼球，一些注意力。但你往下走的时候，你可能会迷茫。,你怎么看汽车内的“硬件创业”?,18,12
我在意创业者的素质，比如表达能力、逻辑性、战略思维是否清晰、资源整合能力强不强，然后有没有亲和力。,你喜欢什么样的创业者/你对创业者或团队的要求是什么？,19,14
能够与消费者对话的品牌才有生命力！,目前研究的行业中你的投资逻辑是什么？/你是如何决定在这个行业里哪些该投哪些不该投？,20,14
一是资本的运作，因为我曾在投资银行从业多年，对资本市场运行的路径非常熟悉。二是协助品牌的建立——这方面我有一些自己的理解。三是资源比较深厚。,除了资金，你能为创业者带来哪些额外帮助？这些帮助最后成效如何？,21,14
天使期的决策不会超过两次见面，A轮一个月，B大约2个月，具体视所投阶段而定。我会更多的时间思考商业的本质。然后我会第一时间告诉创业者我是否跟进。,一般你做一个投资决策时间大约多久？,22,14
在我们重点看的产业互联网领域，我们期待与有产业背景和资源，同时又有互联网运营、技术经验的人才组合合作。项目的牵头人背景既可以是理解了互联网玩法的传统行业人士，也可以深入学习了传统行业知识的互联网人，但我们希望他同时具备洞察力、执行力、感召力和学习力的。,你青睐什么样的创业者/创业团队,23,17
一个月，快的半个月。,你做一个决策的周期大约多长,24,17
我们看产业互联网时会重点关注那些市场容量相对比较大、信息化应用的程度较高、传统产业的发展遇到瓶颈、并且行业内开始对互联网接纳意愿强烈的细分市场，具体来说包括工业服务业、公共服务业、医疗健康、文化创意、消费生活服务业和农业服务业，它们的共性是以各个领域的服务业为依托，形成一套互联网+大数据+运营服务创新+金融的组合模式。,你有自己的投资方法论吗？,25,17
