startDate,endDate,name,investor_id,position,id
2014年,2015年,启赋资本,1,投资总监,1
2004年,2014年,淘宝研发中心,2,,1
2013年,2015年,险峰华兴创业投资,3,副总裁,2
2008年,2009年,IBM实验室,4,Java,4
2011年,2012年,东方证券,4,计算机行业研究,4
2012年,2013年,德勤咨询,4,公共事业咨询,4
2006年,2007年,纳斯达克,5,分析师,5
2007年,2014年,中投圣泉,5,投资总监,5
2014年,2015年,峰谷资本,5,合伙人,5
2010年,2013年,上海创业接力投资管理有限公司,6,投资总监,6
2013年,2014年,融银资本&越银资本,6,管理合伙人,6
2014年,2015年,太冠资本,6,创始合伙人,6
2014年,2015年,险峰华兴,7,投资经理,7
2013年,2014年,浙报传媒先睿投资,7,投资经理,7
2010年,2013年,康尚网络,7,创始人,7
2007年,2010年,盛大创新院,7,产业分析师,7
2014年,2015年,上海钧月网络科技有限公司,8,CEO,9
2007年,2010年,方正电子,9,开发经理,10
2015年,2015年,信天创投,9,投资经理,10
2012年,2014年,奇虎360,10,高级投资经理,12
2010年,2012年,盛大资本,10,分析师,12
2009年,2010年,盛大网络,10,管理培训生（盛大游戏、盛付通）,12
2012年,now年,Arbor Ventures,11,Associate,16
2012年,2012年,Investlab,11,Business Strategy Analyst,16
2010年,2012年,VantagePoint Capital Partners,11,Associate,16
2004年,2008年,甲骨文,12,BD经理,19
2008年,2010年,贝恩咨询,12,咨询师,19
2010年,2012年,凯旋创投,12,咨询师,19
2012年,2015年,诺基亚成长伙伴基金,12,执行董事,19
1998年,2010年,浙江电信,13,程序员,20
2010年,2012年,百度无线,13,百度无线高级经理,20
2012年,2015年,北极光创投,13,副总裁,20
2010年,2015年,天图资本,14,合伙人,21
2006年,2010年,国金证券,14,投资银行部董事总经理,21
2001年,2006年,东方证券,14,业务董事,21
2015年,2015年,创新工场,15,投资经理,22
2013年,2014年,奇虎360,15,投资经理,22
2010年,2013年,易观国际,15,研究总监,22
2001年,2004年,深圳经济特区发展集团,16,企管部,25
2004年,2008年,深圳市腾码信息技术有限公司,16,创始人,25
2008年,2010年,深圳市宝德投资控股有限公司,16,董秘、投资总监,25
2010年,2015年,深圳市鹏德创业投资有限公司,16,联合创始人，常务副总裁,25
2015年,2015年,中美创投硅谷行基金管理企业,16,创始合伙人、执行合伙人,25
2014年,2015年,广东海洋投资管理有限公司,16,董事长（兼职）,25
2009年,2014年,广东中科招商,17,副总裁,26
2008年,2009年,平安信托华南地区,17,投资总监,26
2005年,2008年,岭南佳园连锁酒店,17,副总经理,26
2004年,2005年,21世纪不动产中国区域,17,市场总监,26
1997年,2002年,广州商业银行公司部/战略规划部,17,经理,26
2013年,2015年,PeopleDesign,18,联合创始人,27
2000年,2006年,IBM,19,咨询,29
2006年,2007年,湖北省咸宁市政府,19,市长助理,29
2007年,2011年,Prudent Energy,19,联合创始人,29
2011年,2012年,融360,19,执行董事,29
2012年,2014年,摩贝信息,19,执行董事,29
2014年,2015年,德沃创业基金,19,创始合伙人,29
2012年,2014年,口袋巴士,20,副总裁,30
2011年,2013年,五分钟游戏,21,数据分析师,31
2013年,2013年,德勤华永会计师事务所,21,TMT行业审计,31
2014年,2015年,真格基金,21,副总裁,31
2014年,2015年,联想之星,22,高级投资顾问,32
2009年,2014年,清科集团,22,市场总监,32
2007年,2012年,晨兴创投,23,副总裁,34
2012年,2013年,成为资本,23,执行董事,34
2013年,2015年,创新工场,23,合伙人,34
2015年,2015年,云天使基金,24,投资经理,35
2014年,2015年,信天创投,25,高级投资经理,36
2009年,2014年,腾讯,25,产品经理,36
2015年,2015年,深圳市东方富海投资管理有限公司,26,投资经理,37
