id,itjuzi_id,name,position,weibo,brief,address,company,school,intustry
1,1390,周林林,谱润投资 总裁,http://weibo.com/u/2128291450,周林林，谱润投资创始人、总裁。曾任美国视频数码技术（纳斯达克上市公司）总裁， 赛诺金生物技术(中国)公司总裁， 麦肯锡咨询公司资深咨询顾问， 美国罗门哈斯公司市场经理和事业发展经理。 加拿大国家研究院助理研究员。1982年毕业于上海复旦大学化学系；1989年获美国马里兰大学博士；1992-1994年在美国沃顿商学院攻读工商管理。,"上海,浦东新区",麦肯锡,"复旦大学 , 宾夕法尼亚大学 , 马里兰大学","医疗健康 , 环保能源 , 制造业 , 金融 , 农业 , 企业服务"
2,1361,梅萌,北京马力天使投资中心 合伙人,,梅萌，清华科技园发展中心主任、董事长，启迪控股股份有限公司董事长，北京马力天使投资创始合伙人，天使投资人。清华大学教授，1982年毕业于清华大学自动化系。,"北京,海淀区",启迪创投,清华大学,"互联网 , 移动互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 农业"
3,1362,李晓敏,春风创投/春雨医生 合伙人,,李晓敏，春风创投合伙人。曾就职于德福资本、君联资本、华为。,"北京,海淀区","华为 , 联想",,"互联网 , 移动互联网 , 医疗健康 , 硬件"
4,1363,王孝华,优联资本 董事长,http://weibo.com/wangjacky,王孝华，优联资本创始人、董事长，香港东方德信国际集团董事长。前阿里巴巴集团副总裁，中国电商与物流界资深领军人物，中国较早一批跨国公司的高层管理者，有20多年世界500强和本土企业的高管工作经历。,"北京,朝阳区",阿里巴巴,,"互联网 , 移动互联网 , 医疗健康 , 本地生活 , 教育 , 电子商务 , 汽车交通 , 房产服务 , 旅游"
5,1364,林嘉喜,国金投资 CEO,http://weibo.com/linjiaxi,林嘉喜，国金投资创始人、CEO。,"广东,深圳",,东南大学,"互联网 , 移动互联网 , 金融 , 文化娱乐体育 , 游戏"
6,1365,詹川,国金投资 合伙人,http://weibo.com/p/1005052550301475,詹川，国金投资合伙人、深圳市华澳资本管理有限公司创始合伙人 。关注先进制造业、新材料、生物制药、节能环保、大消费及互联网等领域的投资。,"广东,深圳",,河海大学,"互联网 , 移动互联网 , 医疗健康 , 环保能源 , 制造业 , 本地生活 , 金融 , 文化娱乐体育 , 硬件 , 游戏"
7,1366,张建友,兰天控股 董事长,,张建友，兰天控股创始人、董事长、企业家。,"北京,朝阳区",,,"医疗健康 , 环保能源 , 制造业 , 本地生活 , 金融 , 房产服务"
8,1367,白宗义,耀途资本 创始合伙人,http://weibo.com/u/1909839954,"白宗义，耀途控股创始合伙人，易津投资合伙人， 拥有十年以上中国与以色列高科技行业风险投资与产业从业经验。曾在以色列领先的风险投资基金-英飞尼迪集团担任投资总监，在中以跨境平行投资和产业整合方面拥有丰富经验。

白宗义主导了突唯阿，盛科网络（中电振华收购），磐启微电子，湖南利德（831678），以色列PVnano，宁波亚路，华设科技，华信塑业，语脉科技等移动互联网O2O，集成电路，移动医疗，智能硬件等行业的投资。

白宗义担任突唯阿董事，湖南利德董事，航天英飞监事。主导中国航天科工集团与英飞尼迪集团在中以两国总理见证下签署战略合作协议并成立合资公司，以及数十家以色列高科技企业与国内相关产业对接。在加入英飞尼迪集团之前，白宗义先生在中国航天科工集团及旗下研究所从事军用雷达系统研发以及项目管理。 耀途控股创始合伙人，耀途控股旗下的耀途之旅以及耀途学堂致力于成为国内企业家与新生代创业者首选的，最具深度与国际化的交流和培训平台。为创业者提供高端，深度创业课程培训以及为企业家设计海外商业创新游学之旅，力求实现产业资源深度整合，2015年5月，耀途控股获得百万美元级别的风险投资。

白宗义获得东北大学工学学士和复旦大学国际MBA（与麻省理工学院合作）学位，连续三届担任“千人计划“创业大赛评委, 创业导师，互联网经济杂志专栏撰稿人，在主流专业杂志发表数篇深度文章并被广泛传播。","上海,静安区",,"复旦大学 , 东北大学","互联网 , 移动互联网 , 医疗健康 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 汽车交通 , 房产服务 , 旅游"
9,1368,杨光,耀途资本 创始合伙人,,"杨光，耀途资本创始合伙人，拥有丰富的国内外TMT领域投资经验，曾担任世铭投资（SMC Capital），投资副总裁（上海）；
英飞尼迪股权投资，高级投资经理（苏州、上海、以色列）；SK电信，先后在国际漫游、智慧城市事业组任项目经理（韩国首尔）；
日本欧姆龙，京阪奈研发中心任研究员（日本京都）；微软中国，Windows Mobile开发工程师（上海）。主导及参与的投资项目包括：洋码头、宝尊电商、盛科网络、英诺迅、艾漫动漫等。上海交通大学电子工程学士和硕士, CFA持证人，熟练掌握英语、韩语和日语，担任千人计划创业大赛评审、 上海交通大学创业导师、苏州工业园区科技领军人才评审专家、CFA行业导师等。","上海,黄浦区","微软 , SK集团",上海交通大学,"互联网 , 移动互联网 , 医疗健康 , 本地生活 , 教育 , 金融 , 农业 , 电子商务 , 汽车交通 , 房产服务"
10,1369,陈方明,耀途资本 事业合伙人,,"陈方明，耀途资本事业合伙人。陈方明先生是新能源、新材料领域资本市场运作的专家，投资过3个回报超过10倍以上的项目，担任耀途资本合伙人，易津资本创始合伙人，新三板领域投资回报最高的投资者之一。曾任职于：上海晶隆投资有限公司投资总监；上海易津投资管理事务所（有限合伙）创始人。陈方明先生成功运作的公司包括：四维传媒（430318）、银音科技（430338）回报50倍、路骋国旅（831320）回报60倍、利德浆料（831678）回报10倍。

陈方明先生主导的收购、重组业务包括：
上海凯世通半导体设备有限公司、南通天盛新能源科技有限公司、
同洲电子（002052）中银绒业（000982）
鼎立股份（600614）华微电子（600360）
锦富新材 （ 300128）大东南（002263）。","上海,黄浦区",,,"医疗健康 , 环保能源 , 制造业 , 硬件"
11,1375,祁晶,永宣联创 投资经理,,祁晶，上海联创永宣投资经理。,"上海,徐汇区",,,"互联网 , 移动互联网 , 本地生活 , 硬件 , 游戏"
12,1376,胡泽民,MFund魔量基金 创始合伙人,,胡泽民，MFund魔量基金创始合伙人，前91的CEO，任网龙公司副总裁兼首席财务官。1994年毕业于美国加州大学（柏克莱分校），并取得经济学学士学位，后取得杜克大学工商管理学硕士学位，2004年加入福建网龙。,"福建,厦门",网龙/91,"加州大学伯克利分校 , 杜克大学","互联网 , 移动互联网 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 游戏 , 电子商务"
13,1377,王罡,"MFund魔量基金 副总裁 , 盛大资本 投资总监(已离职)",http://weibo.com/wanggump,王罡，MFund魔量基金副总裁，前盛大资本投资总监。,"上海,浦东新区","盛大 , 网龙/91","浙江大学 , 中欧国际工商学院","互联网 , 移动互联网 , 文化娱乐体育 , 硬件 , 游戏 , 工具软件 , SNS社交网络"
14,1385,汤旭东,创势资本 董事长,http://weibo.com/tangxudong,汤旭东，创势资本创始人、董事长、天使投资人。原松禾资本北方区合伙人。,"北京,朝阳区",松禾资本,,"互联网 , 移动互联网 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 电子商务"
15,1386,葛雪晖,龙翌资本 管理合伙人,,葛雪晖，龙翌资本管理合伙人。自2009年创立龙翌资本，葛雪晖先生带领团队在制造业、地产、金融、消费品多个重要领域完成了诸多里程碑项目，积累了优质的客户资源。葛先生曾任职于美林集团、雷曼兄弟和中国国际金融有限公司，地域上以北京、香港为主，有过伦敦、纽约的工作经历。葛先生有在投资银行领域十多年的经验及丰厚人脉。葛先生服务过的上市案例及客户遍及消费品、能源与新能源、银行、保险、地产、电子科技、互联网、医药等重要行业。曾为数十家企业融资超过数百亿美元，其上市及融资客户包括：工商银行、建设银行、中国人寿、人保、中国石化、中国铝业、国航、巨人网络、中国动向、海王星辰医药等。,"北京,朝阳区","美银美林 , 中金公司CICC",,"医疗健康 , 环保能源 , 制造业 , 本地生活 , 教育 , 金融 , 文化娱乐体育 , 硬件 , 农业 , 电子商务 , 房产服务"
