investDate,name,company_url,investor_id,amount,phase,id
2015年8月,合力贷,http://itjuzi.com/company/3561,10004,10000万,A轮,1
2015年8月,我要洗衣,http://itjuzi.com/company/18977,10008,数千万人民币,A轮,2
2015年6月,喜小宝,http://itjuzi.com/company/25370,10008,数千万人民币,A轮,3
2015年3月,8868交易平台,http://itjuzi.com/company/4818,10008,1000万,B轮,4
2014年12月,新游互联NGDS,http://itjuzi.com/company/10373,10008,数千万人民币,A轮,5
2015年8月,在家点点,http://itjuzi.com/company/25415,10009,200万,种子天使,6
2013年7月,邢帅网络学院,http://itjuzi.com/company/1766,10023,1500万,A轮,7
2015年7月,鲜达网-水果管家,http://itjuzi.com/company/7687,10030,数千万人民币,A轮,8
2015年7月,度周末,http://itjuzi.com/company/14499,10030,2000万,A轮,9
2015年7月,懒财网,http://itjuzi.com/company/11190,10030,数千万人民币,A轮,10
2015年6月,乐蜗SVR Glass,http://itjuzi.com/company/24962,10030,未透露人民币,A轮,11
2015年6月,股票赢家,http://itjuzi.com/company/2836,10030,数千万人民币,A轮,12
2015年6月,统联金融-票易赚,http://itjuzi.com/company/24961,10030,数千万人民币,A轮,13
2015年3月,楼口便利,http://itjuzi.com/company/18448,10030,15000万,A轮,14
2014年9月,网贷天眼,http://itjuzi.com/company/9565,10030,1000万,A轮,15
2013年12月,好买财富-好买基金网,http://itjuzi.com/company/1981,10030,未透露人民币,B轮,16
2013年4月,安硕信息Amarsoft,http://itjuzi.com/company/8856,10030,数千万人民币,A轮,17
2013年3月,Vida微达,http://itjuzi.com/company/439,10030,数百万美元,A轮,18
2012年12月,好买财富-好买基金网,http://itjuzi.com/company/1981,10030,数千万人民币,A轮,19
2012年1月,ZAKER扎客,http://itjuzi.com/company/1672,10030,1000万,B轮,20
2011年8月,微云即趣科技,http://itjuzi.com/company/3297,10030,数百万美元,A轮,21
2010年12月,七格格,http://itjuzi.com/company/17957,10030,10000万,A轮,22
2015年4月,Keep,http://itjuzi.com/company/14236,10036,500万,A轮,23
2015年4月,Keep,http://itjuzi.com/company/14236,10037,500万,A轮,24
2015年7月,菜篮网,http://itjuzi.com/company/24105,10043,数千万人民币,A轮,25
2015年3月,99分期,http://itjuzi.com/company/12320,10074,3000万,A轮,26
2014年4月,库客音乐网,http://itjuzi.com/company/9494,10074,1000万,A轮,27
2014年6月,理财范,http://itjuzi.com/company/9372,10085,数千万人民币,A轮,28
2015年7月,互动百科集团,http://itjuzi.com/company/18701,10091,28000万,D轮,29
2014年10月,又拍云UPYUN,http://itjuzi.com/company/8401,10091,数千万人民币,A轮,30
2014年3月,微众传媒,http://itjuzi.com/company/4690,10091,数千万人民币,B轮,31
2015年7月,心有灵犀,http://itjuzi.com/company/23153,10092,1000万,种子天使,32
2014年7月,昂腾智造-AT莫比,http://itjuzi.com/company/23193,10097,数百万人民币,种子天使,33
2015年7月,猫片传媒,http://itjuzi.com/company/25284,10098,数百万人民币,种子天使,34
2015年1月,永利宝金融,http://itjuzi.com/company/12805,10098,数千万美元,A轮,35
