startDate,endDate,name,investor_id,position,id
,,松源资本,10001,创始合伙人兼CEO,1
,,清科 ,10001,,2
,, 中国计算机报,10001,,3
,,国金投资,10002,CEO,4
,,国金投资,10003,合伙人,5
,,兰天控股,10004,董事长,6
,,耀途资本,10005,创始合伙人,7
,,耀途资本,10006,创始合伙人,8
,,微软 ,10006,,9
,, SK集团,10006,,10
,,耀途资本,10007,事业合伙人,11
,,永宣联创,10008,投资经理,12
,,MFund魔量基金,10009,创始合伙人,13
,,网龙/91,10009,,14
,,MFund魔量基金,10010,副总裁,15
,,盛大资本,10010,投资总监(已离职),16
,,盛大 ,10010,,17
,, 网龙/91,10010,,18
,,龙翌资本,10011,管理合伙人,19
,,美银美林 ,10011,,20
,, 中金公司CICC,10011,,21
,,龙翌资本,10012,创始合伙人,22
,,创势资本,10013,董事长,23
,,松禾资本,10013,,24
,,箭速资本,10014,合伙人,25
,,奥迈资本,10015,合伙人,26
,,谱润投资,10015,管理合伙人,27
,,麦肯锡,10015,,28
,,谱润投资,10016,总裁,29
,,麦肯锡,10016,,30
,,春风创投/春雨医生,10017,合伙人,31
,,华为 ,10017,,32
,, 联想,10017,,33
,,优联资本,10018,董事长,34
,,阿里巴巴,10018,,35
,,北京马力天使投资中心,10019,合伙人,36
,,启迪创投,10019,,37
,,信天创投,10020,运营总监,38
,,腾讯,10020,,39
,,FreesFund峰瑞资本,10021,早期项目负责人,40
,,IDG,10021,,41
,,众诚资本,10022,创始人,42
,,众诚资本,10023,创始合伙人,43
,,云启创投,10024,高级投资经理,44
,,百度 ,10024,,45
,, 京东商城,10024,,46
,,FreesFund峰瑞资本,10025,创始合伙人,47
,,高盛 ,10025,,48
,, IDG,10025,,49
,,早鸟基金,10026,合伙人,50
,,中金公司CICC,10026,,51
,,早鸟基金,10027,合伙人,52
,,里昂证券,10027,,53
,,建元天华投资,10028,创始人,54
,,青骢资本,10029,董事总经理,55
,,君联资本,10030,执行董事,56
,,埃森哲,10030,,57
,,春晓资本,10031,创始合伙人,58
,,春晓资本,10032,创始合伙人,59
,,春晓资本,10033,高级投资经理,60
,,春晓资本,10034,投资经理,61
,,春晓资本,10035,投资经理,62
,,京东商城 ,10035,,63
,, 招商银行,10035,,64
,,银泰资本Ventech,10036,合伙人,65
,,招商和腾创投,10036,合伙人(已离职),66
,,银泰资本Ventech,10037,投资经理,67
,,招商和腾创投,10038,主管合伙人,68
,,招商局,10038,,69
,,招商和腾创投,10039,主管合伙人,70
,,分享投资,10040,管理合伙人兼执行合伙人,71
,,杭州多牛资本,10041,创始人,72
,,阿里巴巴 ,10041,,73
,, 支付宝,10041,,74
,,财晟资本,10042,董事长,75
,,财晟资本,10043,创始合伙人,76
,,安永,10043,,77
,,财晟资本,10044,创始合伙人,78
,,深圳创新投,10044,,79
,,财晟资本,10045,合伙人,80
,,昆吾九鼎投资 ,10045,,81
,, 中科招商,10045,,82
,,长安私人资本,10046,创始合伙人,83
,,长安私人资本,10047,创始合伙人,84
,,渣打银行,10047,,85
,,长安私人资本,10048,高级副总裁,86
,,长安私人资本,10049,副总裁,87
,,狮享家新媒体基金,10050,创始合伙人,88
,,新华社,10050,,89
,,春晓资本,10051,投资合伙人,90
,,联想 ,10051,,91
,, 北大方正,10051,,92
,,方源资本,10052,总裁及董事总经理,93
,,高盛 ,10052,,94
,, 淡马锡,10052,,95
,,方源资本,10053,董事总经理,96
,,高盛 ,10053,,97
,, 淡马锡,10053,,98
,,方源资本,10054,董事总经理,99
,,摩根大通 ,10054,,100
,, 高盛 ,10054,,101
,, 淡马锡,10054,,102
,,挚盈资本,10055,投资副总裁,103
,,挚盈资本,10056,投资经理,104
,,挚盈资本,10057,投资经理,105
,,挚盈资本,10058,投资经理,106
,,挚盈资本,10059,投资经理,107
,,阿尔法公社,10060,合伙人,108
,,微软 ,10060,,109
,, 奇虎360 ,10060,,110
,, 中经合集团,10060,,111
,,长石资本,10061,合伙人,112
,,IBM,10061,,113
,,琢石投资,10062,董事总经理,114
,,宝洁 ,10062,,115
,, TCL,10062,,116
,,琢石投资,10063,管理合伙人,117
,,华为 ,10063,,118
,, 西门子 ,10063,,119
,, Nortel北电网络,10063,,120
,,琢石投资,10064,管理合伙人,121
,,琢石投资,10065,管理合伙人,122
,,毕马威KPMG ,10065,,123
,, 招商证券,10065,,124
,,琢石投资,10066,投资副总裁,125
,,琢石投资,10067,执行总监,126
,,零一创投,10068,合伙人,127
,,零一创投,10069,助理副总裁,128
,,零一创投,10070,助理副总裁,129
,,东方华盖创投,10071,创始合伙人,130
,,建银国际,10071,,131
,,东方华盖创投,10072,创始合伙人,132
,,高盛 ,10072,,133
